,Year,Month,Value,city
15,2022,Feb,163.261,../data/cpi_data/Phoenix
16,2022,Jan,,../data/cpi_data/Phoenix
17,2022,Jul,,../data/cpi_data/Phoenix
18,2022,Jun,172.643,../data/cpi_data/Phoenix
19,2022,Mar,,../data/cpi_data/Phoenix
20,2022,May,,../data/cpi_data/Phoenix
21,2022,Nov,,../data/cpi_data/Phoenix
22,2022,Oct,176.337,../data/cpi_data/Phoenix
23,2022,Sep,,../data/cpi_data/Phoenix
24,2023,Apr,179.824,../data/cpi_data/Phoenix
25,2023,Aug,180.387,../data/cpi_data/Phoenix
26,2023,Dec,,../data/cpi_data/Phoenix
27,2023,Feb,177.118,../data/cpi_data/Phoenix
28,2023,Jan,,../data/cpi_data/Phoenix
29,2023,Jul,,../data/cpi_data/Phoenix
30,2023,Jun,180.251,../data/cpi_data/Phoenix
31,2023,Mar,,../data/cpi_data/Phoenix
32,2023,May,,../data/cpi_data/Phoenix
33,2023,Nov,,../data/cpi_data/Phoenix
34,2023,Oct,,../data/cpi_data/Phoenix
35,2023,Sep,,../data/cpi_data/Phoenix
0,2021,Apr,280.39,../data/cpi_data/Miami
1,2021,Aug,285.472,../data/cpi_data/Miami
2,2021,Dec,293.284,../data/cpi_data/Miami
3,2021,Feb,275.849,../data/cpi_data/Miami
4,2021,Jan,,../data/cpi_data/Miami
5,2021,Jul,,../data/cpi_data/Miami
6,2021,Jun,284.797,../data/cpi_data/Miami
7,2021,Mar,,../data/cpi_data/Miami
8,2021,May,,../data/cpi_data/Miami
9,2021,Nov,,../data/cpi_data/Miami
10,2021,Oct,289.793,../data/cpi_data/Miami
11,2021,Sep,,../data/cpi_data/Miami
12,2022,Apr,305.958,../data/cpi_data/Miami
13,2022,Aug,314.69,../data/cpi_data/Miami
14,2022,Dec,322.21,../data/cpi_data/Miami
15,2022,Feb,301.458,../data/cpi_data/Miami
16,2022,Jan,,../data/cpi_data/Miami
17,2022,Jul,,../data/cpi_data/Miami
18,2022,Jun,313.509,../data/cpi_data/Miami
19,2022,Mar,,../data/cpi_data/Miami
20,2022,May,,../data/cpi_data/Miami
21,2022,Nov,,../data/cpi_data/Miami
22,2022,Oct,317.615,../data/cpi_data/Miami
23,2022,Sep,,../data/cpi_data/Miami
24,2023,Apr,333.592,../data/cpi_data/Miami
25,2023,Aug,339.347,../data/cpi_data/Miami
26,2023,Dec,,../data/cpi_data/Miami
27,2023,Feb,329.065,../data/cpi_data/Miami
28,2023,Jan,,../data/cpi_data/Miami
29,2023,Jul,,../data/cpi_data/Miami
30,2023,Jun,335.27,../data/cpi_data/Miami
31,2023,Mar,,../data/cpi_data/Miami
32,2023,May,,../data/cpi_data/Miami
33,2023,Nov,,../data/cpi_data/Miami
34,2023,Oct,,../data/cpi_data/Miami
35,2023,Sep,,../data/cpi_data/Miami
0,2021,Apr,,../data/cpi_data/Denver
1,2021,Aug,,../data/cpi_data/Denver
2,2021,Dec,,../data/cpi_data/Denver
3,2021,Feb,,../data/cpi_data/Denver
4,2021,Jan,272.156,../data/cpi_data/Denver
5,2021,Jul,285.268,../data/cpi_data/Denver
6,2021,Jun,,../data/cpi_data/Denver
7,2021,Mar,274.43,../data/cpi_data/Denver
8,2021,May,280.154,../data/cpi_data/Denver
9,2021,Nov,289.621,../data/cpi_data/Denver
10,2021,Oct,,../data/cpi_data/Denver
11,2021,Sep,286.186,../data/cpi_data/Denver
12,2022,Apr,,../data/cpi_data/Denver
13,2022,Aug,,../data/cpi_data/Denver
14,2022,Dec,,../data/cpi_data/Denver
15,2022,Feb,,../data/cpi_data/Denver
16,2022,Jan,293.58,../data/cpi_data/Denver
17,2022,Jul,308.728,../data/cpi_data/Denver
18,2022,Jun,,../data/cpi_data/Denver
19,2022,Mar,299.529,../data/cpi_data/Denver
20,2022,May,303.51,../data/cpi_data/Denver
