,Year,Month,Value,city
19,2022,Mar,267.59,./cpi_data/Tampa CPI.xlsx
20,2022,May,273.245,./cpi_data/Tampa CPI.xlsx
21,2022,Nov,280.395,./cpi_data/Tampa CPI.xlsx
22,2022,Oct,,./cpi_data/Tampa CPI.xlsx
23,2022,Sep,277.49,./cpi_data/Tampa CPI.xlsx
24,2023,Apr,,./cpi_data/Tampa CPI.xlsx
25,2023,Aug,,./cpi_data/Tampa CPI.xlsx
26,2023,Dec,,./cpi_data/Tampa CPI.xlsx
27,2023,Feb,,./cpi_data/Tampa CPI.xlsx
28,2023,Jan,285.267,./cpi_data/Tampa CPI.xlsx
29,2023,Jul,292.974,./cpi_data/Tampa CPI.xlsx
30,2023,Jun,,./cpi_data/Tampa CPI.xlsx
31,2023,Mar,288.319,./cpi_data/Tampa CPI.xlsx
32,2023,May,293.269,./cpi_data/Tampa CPI.xlsx
33,2023,Nov,,./cpi_data/Tampa CPI.xlsx
34,2023,Oct,,./cpi_data/Tampa CPI.xlsx
35,2023,Sep,,./cpi_data/Tampa CPI.xlsx
0,2021,Apr,,./cpi_data/Minneapolis
1,2021,Aug,,./cpi_data/Minneapolis
2,2021,Dec,,./cpi_data/Minneapolis
3,2021,Feb,,./cpi_data/Minneapolis
4,2021,Jan,256.379,./cpi_data/Minneapolis
5,2021,Jul,267.241,./cpi_data/Minneapolis
6,2021,Jun,,./cpi_data/Minneapolis
7,2021,Mar,259.187,./cpi_data/Minneapolis
8,2021,May,262.898,./cpi_data/Minneapolis
9,2021,Nov,272.859,./cpi_data/Minneapolis
10,2021,Oct,,./cpi_data/Minneapolis
11,2021,Sep,270.24,./cpi_data/Minneapolis
12,2022,Apr,,./cpi_data/Minneapolis
13,2022,Aug,,./cpi_data/Minneapolis
14,2022,Dec,,./cpi_data/Minneapolis
15,2022,Feb,,./cpi_data/Minneapolis
16,2022,Jan,274.725,./cpi_data/Minneapolis
17,2022,Jul,289.265,./cpi_data/Minneapolis
18,2022,Jun,,./cpi_data/Minneapolis
19,2022,Mar,280.388,./cpi_data/Minneapolis
20,2022,May,285.784,./cpi_data/Minneapolis
21,2022,Nov,287.396,./cpi_data/Minneapolis
22,2022,Oct,,./cpi_data/Minneapolis
23,2022,Sep,290.325,./cpi_data/Minneapolis
24,2023,Apr,,./cpi_data/Minneapolis
25,2023,Aug,,./cpi_data/Minneapolis
26,2023,Dec,,./cpi_data/Minneapolis
27,2023,Feb,,./cpi_data/Minneapolis
28,2023,Jan,288.761,./cpi_data/Minneapolis
29,2023,Jul,292.223,./cpi_data/Minneapolis
30,2023,Jun,,./cpi_data/Minneapolis
31,2023,Mar,289.968,./cpi_data/Minneapolis
32,2023,May,291.001,./cpi_data/Minneapolis
33,2023,Nov,,./cpi_data/Minneapolis
34,2023,Oct,,./cpi_data/Minneapolis
35,2023,Sep,,./cpi_data/Minneapolis
0,2021,Apr,242.022,./cpi_data/st_louis
1,2021,Aug,250.237,./cpi_data/st_louis
2,2021,Dec,253.618,./cpi_data/st_louis
3,2021,Feb,237.018,./cpi_data/st_louis
4,2021,Jan,,./cpi_data/st_louis
5,2021,Jul,,./cpi_data/st_louis
6,2021,Jun,247.777,./cpi_data/st_louis
7,2021,Mar,,./cpi_data/st_louis
8,2021,May,,./cpi_data/st_louis
9,2021,Nov,,./cpi_data/st_louis
10,2021,Oct,251.624,./cpi_data/st_louis
11,2021,Sep,,./cpi_data/st_louis
12,2022,Apr,262.296,./cpi_data/st_louis
13,2022,Aug,268.979,./cpi_data/st_louis
14,2022,Dec,269.44,./cpi_data/st_louis
15,2022,Feb,256.458,./cpi_data/st_louis
16,2022,Jan,,./cpi_data/st_louis
17,2022,Jul,,./cpi_data/st_louis
18,2022,Jun,268.513,./cpi_data/st_louis
19,2022,Mar,,./cpi_data/st_louis
20,2022,May,,./cpi_data/st_louis
21,2022,Nov,,./cpi_data/st_louis
22,2022,Oct,269.134,./cpi_data/st_louis
23,2022,Sep,,./cpi_data/st_louis
24,2023,Apr,273.234,./cpi_data/st_louis
25,2023,Aug,277.451,./cpi_data/st_louis
26,2023,Dec,,./cpi_data/st_louis
27,2023,Feb,271.581,./cpi_data/st_louis
28,2023,Jan,,./cpi_data/st_louis
29,2023,Jul,,./cpi_data/st_louis
30,2023,Jun,276.792,./cpi_data/st_louis
31,2023,Mar,,./cpi_data/st_louis
32,2023,May,,./cpi_data/st_louis
33,2023,Nov,,./cpi_data/st_louis
34,2023,Oct,,./cpi_data/st_louis
35,2023,Sep,,./cpi_data/st_louis
0,2021,Apr,257.074,./cpi_data/atlanta
1,2021,Aug,264.502,./cpi_data/atlanta
2,2021,Dec,273.424,./cpi_data/atlanta
3,2021,Feb,252.972,./cpi_data/atlanta
4,2021,Jan,,./cpi_data/atlanta
5,2021,Jul,,./cpi_data/atlanta
6,2021,Jun,261.662,./cpi_data/atlanta
7,2021,Mar,,./cpi_data/atlanta
8,2021,May,,./cpi_data/atlanta
9,2021,Nov,,./cpi_data/atlanta
10,2021,Oct,268.362,./cpi_data/atlanta
11,2021,Sep,,./cpi_data/atlanta
12,2022,Apr,284.925,./cpi_data/atlanta
13,2022,Aug,295.469,./cpi_data/atlanta
14,2022,Dec,295.452,./cpi_data/atlanta
15,2022,Feb,279.743,./cpi_data/atlanta
16,2022,Jan,,./cpi_data/atlanta
17,2022,Jul,,./cpi_data/atlanta
18,2022,Jun,291.764,./cpi_data/atlanta
19,2022,Mar,,./cpi_data/atlanta
20,2022,May,,./cpi_data/atlanta
21,2022,Nov,,./cpi_data/atlanta
22,2022,Oct,297.058,./cpi_data/atlanta
23,2022,Sep,,./cpi_data/atlanta
